formatted_date,date,close,high,low,open,volume,adjclose,changes
2021-02-03,2021-02-03,37480.0,35444.0,35511.0,37472.0,61166818159,37472.0,positive
2021-02-04,2021-02-04,38592.0,36318.0,37475.0,36926.0,68838074392,36926.0,positive
2021-02-05,2021-02-05,38226.0,36659.0,36932.0,38144.0,58598066402,38144.0,negative
2021-02-06,2021-02-06,40847.0,38138.0,38138.0,39266.0,71326033653,39266.0,positive
2021-02-07,2021-02-07,39622.0,37446.0,39250.0,38903.0,65500641143,38903.0,negative
2021-02-08,2021-02-08,46204.0,38076.0,38887.0,46196.0,101467222687,46196.0,positive
2021-02-09,2021-02-09,48004.0,45167.0,46185.0,46481.0,91809846886,46481.0,positive
2021-02-10,2021-02-10,47146.0,43881.0,46470.0,44918.0,87301089896,44918.0,negative
2021-02-11,2021-02-11,48463.0,44188.0,44899.0,47909.0,81388911810,47909.0,positive
2021-02-12,2021-02-12,48746.0,46425.0,47877.0,47505.0,76555041196,47505.0,positive
2021-02-13,2021-02-13,48048.0,46392.0,47491.0,47106.0,70250456155,47106.0,negative
2021-02-14,2021-02-14,49488.0,47115.0,47115.0,48717.0,71248675228,48717.0,positive
2021-02-15,2021-02-15,48876.0,46347.0,48697.0,47945.0,77069903166,47945.0,negative
2021-02-16,2021-02-16,50341.0,47201.0,47944.0,49200.0,77049582886,49200.0,positive
2021-02-17,2021-02-17,52534.0,49072.0,49207.0,52149.0,80820545404,52149.0,positive
2021-02-18,2021-02-18,52474.0,51016.0,52141.0,51680.0,52054723579,51680.0,negative
2021-02-19,2021-02-19,56114.0,50937.0,51676.0,55888.0,63495496918,55888.0,positive
2021-02-20,2021-02-20,57505.0,54627.0,55887.0,56100.0,68145460026,56100.0,positive
2021-02-21,2021-02-21,58331.0,55673.0,56069.0,57540.0,51897585191,57540.0,positive
2021-02-22,2021-02-22,57533.0,48968.0,57533.0,54207.0,92052420332,54207.0,negative
2021-02-23,2021-02-23,54205.0,45291.0,54205.0,48824.0,106102492824,48824.0,negative
2021-02-24,2021-02-24,51290.0,47214.0,48835.0,49705.0,63695521388,49705.0,negative
2021-02-25,2021-02-25,51949.0,47094.0,49709.0,47094.0,54506565949,47094.0,positive
2021-02-26,2021-02-26,48371.0,44455.0,47180.0,46340.0,350967941479,46340.0,negative
2021-02-27,2021-02-27,48253.0,45269.0,46345.0,46188.0,45910946382,46188.0,negative
2021-02-28,2021-02-28,46716.0,43242.0,46194.0,45138.0,53443887451,45138.0,negative
2021-03-01,2021-03-01,49784.0,45115.0,45160.0,49631.0,53891300112,49631.0,positive
2021-03-02,2021-03-02,50128.0,47229.0,49612.0,48379.0,47530897720,48379.0,positive
2021-03-03,2021-03-03,52535.0,48274.0,48416.0,50538.0,53220811975,50538.0,positive
2021-03-04,2021-03-04,51735.0,47657.0,50522.0,48561.0,52343816680,48561.0,negative
2021-03-05,2021-03-05,49396.0,46543.0,48527.0,48927.0,48625928883,48927.0,negative
2021-03-06,2021-03-06,49147.0,47258.0,48899.0,48912.0,34363564661,48912.0,negative
